Player,Club,Age,Position,Minutes,Goals,xG,xGDiff,Assists,xA,xADiff,Dribbles,DribblesCompleted,PlayersDribbledPast,Nutmegs,Interceptions,TacklesWon,DribbledPast
Marco Reus,Borussia Dortmund,30,"FW,MF",360,0,2.7,-2.7,1,0.8,0.2,11,7,7,0,1,9,7
Patrik Hrošovský,Genk,27,MF,414,0,0.1,-0.1,0,0.2,-0.2,9,7,7,0,4,5,5
Quincy Promes,Ajax,27,"FW,MF",425,4,2.4,1.6,0,0.2,-0.2,12,7,7,1,1,3,10
Timo Werner,RasenBallsport Leipzig,23,"FW,MF",399,3,3.5,-0.5,1,0.5,0.5,15,7,7,2,2,3,3
Vitolo,Atletico Madrid,29,"FW,MF",97,0,0.3,-0.3,0,0,0,7,7,7,0,0,0,0
Wílmar Barrios,Zenit St. Petersburg,25,MF,540,0,0,0,0,0,0,13,7,7,2,23,15,20
Yaroslav Rakitskiy,Zenit St. Petersburg,29,DF,450,1,0,1,0,0.3,-0.3,9,7,7,0,8,5,3
İlkay Gündoğan,Manchester City,28,MF,540,2,1.9,0.1,2,0.6,1.4,9,6,8,0,8,7,6
Rodrigo,Valencia,28,FW,450,2,2.9,-0.9,2,0.6,1.4,19,6,8,0,4,3,3
Ángel Correa,Atletico Madrid,24,"FW,MF",263,0,1.1,-1.1,0,0.4,-0.4,12,6,7,0,3,4,5
Callum Hudson-Odoi,Chelsea,18,MF,171,0,0.3,-0.3,1,0.4,0.6,13,6,7,0,1,1,0
Charles Aránguiz,Bayer Leverkusen,30,MF,415,0,0.5,-0.5,1,0.3,0.7,9,6,7,0,1,3,13
Douglas Costa,Juventus,28,"FW,MF",20,1,0.5,0.5,0,0,0,7,6,7,0,0,1,0
Éder,Lokomotiv Moscow,31,FW,342,0,0.2,-0.2,0,0.1,-0.1,11,6,7,0,3,4,2
Eduard Sobol,Club Brugge,24,DF,260,0,0,0,0,0,0,12,6,7,0,2,6,1
Lucas Moura,Tottenham,26,"FW,MF",221,1,0.2,0.8,1,0.4,0.6,11,6,7,1,1,3,4
Nadiem Amiri,Bayer Leverkusen,22,MF,237,0,0.4,-0.4,0,0.5,-0.5,10,6,7,0,1,8,5
Petar Stojanović,Dinamo Zagreb,23,"DF,MF",507,0,0.1,-0.1,1,0.5,0.5,15,6,7,1,4,10,8
Riyad Mahrez,Manchester City,28,"FW,MF",448,1,1.8,-0.8,4,2.3,1.7,8,6,7,0,3,4,11
Serge Gnabry,Bayern Munich,24,"FW,MF",382,4,1.3,2.7,1,1.5,-0.5,15,6,7,0,2,11,12
Tomás Tavares,Benfica,18,MF,450,0,0,0,0,0.4,-0.4,15,6,7,0,3,5,8
Youssef El-Arabi,Olympiacos,32,FW,277,3,1.3,1.7,0,0,0,14,6,7,0,0,0,4
Artem Dzyuba,Zenit St. Petersburg,30,FW,540,2,0.8,1.2,1,3.1,-2.1,14,6,6,2,1,3,4
Erling Braut Håland,Salzburg,19,FW,374,8,5.3,2.7,1,0.4,0.6,11,6,6,1,1,1,7
Giovanni Di Lorenzo,Napoli,25,DF,540,0,0.2,-0.2,2,0.7,1.3,12,6,6,2,1,13,7
