DerbyFlag,HomeTeam,AwayTeam,Result,Date,Scoreline,Outcome
0,Bournemouth,Arsenal,lost,25/11/2018,1-2,-1
0,Wolves,Huddersfield,lost,25/11/2018,0-2,-1
0,Burnley,Newcastle,lost,26/11/2018,1-2,-1
0,Cardiff,Wolves,won,30/11/2018,2-1,1
0,Crystal Palace,Burnley,won,01/12/2018,2-0,1
0,Huddersfield,Brighton,lost,01/12/2018,1-2,-1
0,Leicester,Watford,won,01/12/2018,2-0,1
0,Man City,Bournemouth,won,01/12/2018,3-1,1
0,Newcastle,West Ham,lost,01/12/2018,0-3,-1
0,Southampton,Man United,drew,01/12/2018,2-2,0
3,Arsenal,Tottenham,won,02/12/2018,4-2,1
1,Chelsea,Fulham,won,02/12/2018,2-0,1
2,Liverpool,Everton,won,02/12/2018,1-0,1
0,Bournemouth,Huddersfield,won,04/12/2018,2-1,1
2,Brighton,Crystal Palace,won,04/12/2018,3-1,1
0,Watford,Man City,lost,04/12/2018,1-2,-1
0,West Ham,Cardiff,won,04/12/2018,3-1,1
0,Burnley,Liverpool,lost,05/12/2018,1-3,-1
0,Everton,Newcastle,drew,05/12/2018,1-1,0
0,Fulham,Leicester,drew,05/12/2018,1-1,0
0,Man United,Arsenal,drew,05/12/2018,2-2,0
0,Tottenham,Southampton,won,05/12/2018,3-1,1
0,Wolves,Chelsea,won,05/12/2018,2-1,1
0,Arsenal,Huddersfield,won,08/12/2018,1-0,1
0,Bournemouth,Liverpool,lost,08/12/2018,0-4,-1
0,Burnley,Brighton,won,08/12/2018,1-0,1
0,Cardiff,Southampton,won,08/12/2018,1-0,1
0,Chelsea,Man City,won,08/12/2018,2-0,1
0,Leicester,Tottenham,lost,08/12/2018,0-2,-1
0,Man United,Fulham,won,08/12/2018,4-1,1
0,West Ham,Crystal Palace,won,08/12/2018,3-2,1
0,Newcastle,Wolves,lost,09/12/2018,1-2,-1
0,Everton,Watford,drew,10/12/2018,2-2,0
0,Crystal Palace,Leicester,won,15/12/2018,1-0,1
0,Fulham,West Ham,lost,15/12/2018,0-2,-1
0,Huddersfield,Newcastle,lost,15/12/2018,0-1,-1
0,Man City,Everton,won,15/12/2018,3-1,1
0,Tottenham,Burnley,won,15/12/2018,1-0,1
0,Watford,Cardiff,won,15/12/2018,3-2,1
0,Wolves,Bournemouth,won,15/12/2018,2-0,1
0,Brighton,Chelsea,lost,16/12/2018,1-2,-1
3,Liverpool,Man United,won,16/12/2018,3-1,1
0,Southampton,Arsenal,won,16/12/2018,3-2,1
0,Wolves,Liverpool,lost,21/12/2018,0-2,-1
0,Arsenal,Burnley,won,22/12/2018,3-1,1
0,Bournemouth,Brighton,won,22/12/2018,2-0,1
