YearDrafted,Player,OverallRank,VORP,Team,OverallReDraft,RankDeficit,RankDeficitWeighted
2010,Paul George,10,29.9,IND,1,9.0,0.9
2010,Gordon Hayward,9,17.5,UTA,4,5.0,0.5555555555555556
2010,Al-Farouq Aminu,8,8.5,LAC,9,-1.0,-0.125
2010,Greg Monroe,7,17.2,DET,5,2.0,0.2857142857142857
2010,Ekpe Udoh,6,3.2,GSW,15,-9.0,-1.5
2010,DeMarcus Cousins,5,22.5,SAC,2,3.0,0.6
2010,Wesley Johnson,4,2.9,MIN,17,-13.0,-3.25
2010,Derrick Favors,3,14.1,NJN,7,-4.0,-1.3333333333333333
2010,Evan Turner,2,0.1,PHI,25,-23.0,-11.5
2010,John Wall,1,22.1,WAS,3,-2.0,-2.0
2011,Isaiah Thomas,60,13.9,SAC,6,54.0,0.9
2011,Ádám Hanga,59,-5.0,SAS,55,4.0,0.06779661016949153
2011,Ater Majok,58,-5.0,LAL,55,3.0,0.05172413793103448
2011,Targuy Ngombo,57,-5.0,DAL,55,2.0,0.03508771929824561
2011,Chukwudiebere Maduabum,56,-5.0,LAL,55,1.0,0.017857142857142856
2011,E'Twaun Moore,55,0.7,BOS,26,29.0,0.5272727272727272
2011,Milan Mačvan,54,-5.0,CLE,55,-1.0,-0.018518518518518517
2011,DeAndre Liggins,53,0.0,ORL,31,22.0,0.41509433962264153
2011,Vernon Macklin,52,0.0,DET,31,21.0,0.40384615384615385
2011,Jon Diebler,51,-5.0,POR,55,-4.0,-0.0784313725490196
2011,Lavoy Allen,50,1.3,PHI,22,28.0,0.56
2011,Josh Selby,49,-0.6,MEM,46,3.0,0.061224489795918366
2011,Keith Benson,48,0.0,ATL,31,17.0,0.3541666666666667
2011,Travis Leslie,47,0.0,LAC,31,16.0,0.3404255319148936
2011,Andrew Goudelock,46,-0.5,LAL,44,2.0,0.043478260869565216
2011,Josh Harrellson,45,0.3,NOH,28,17.0,0.37777777777777777
2011,Charles Jenkins,44,-1.3,GSW,49,-5.0,-0.11363636363636363
2011,Malcolm Lee,43,0.0,CHI,31,12.0,0.27906976744186046
2011,Dāvis Bertāns,42,2.9,IND,19,23.0,0.5476190476190477
2011,Darius Morris,41,-1.3,LAL,49,-8.0,-0.1951219512195122
2011,Jon Leuer,40,0.9,MIL,24,16.0,0.4
2011,Jeremy Tyler,39,-1.2,CHA,48,-9.0,-0.23076923076923078
